Rider_age,Rider_rating,Weatherconditions,traffic_type,Vehicle_condition,multiple_deliveries,Festival,City_type,time_taken,order_hour,order_time_of_day,distance
26.0,4.3,Sandstorms,low,0,0.0,no,urban,21,23.0,Evening,7.720324413179964
38.0,4.9,Cloudy,high,1,1.0,no,urban,25,13.0,Afternoon,6.175636261016932
32.0,3.5,Stormy,jam,1,0.0,no,urban,35,21.0,Evening,6.773975247001431
32.0,4.6,Cloudy,low,2,1.0,no,metropolitian,30,22.0,Evening,19.914686965545187
33.0,4.9,Sunny,medium,1,1.0,no,metropolitian,22,18.0,Afternoon,10.724517748046026
20.0,4.7,Windy,high,1,0.0,no,urban,10,14.0,Afternoon,6.127835452844326
20.0,4.8,Sandstorms,low,2,1.0,no,metropolitian,19,11.0,Morning,1.5203573134022046
35.0,5.0,Sunny,low,2,1.0,no,urban,11,9.0,Morning,3.0734537599377685
26.0,4.9,Stormy,low,2,0.0,no,metropolitian,11,8.0,Morning,3.1051314775458967
22.0,4.8,Fog,low,1,1.0,no,metropolitian,28,23.0,Evening,10.86742683448048
35.0,4.3,Cloudy,medium,1,1.0,no,metropolitian,33,17.0,Afternoon,10.865464603780389
27.2,4.680000000000001,Cloudy,medium,1,1.0,no,metropolitian,33,17.6,Afternoon,12.236723616598548
37.0,4.7,Sandstorms,jam,0,3.0,no,metropolitian,52,19.0,Evening,13.6825162985923
28.0,4.6,Stormy,jam,1,1.0,no,metropolitian,22,19.0,Evening,16.826241648658115
37.0,4.9,Fog,low,1,1.0,no,urban,16,10.0,Morning,3.0272369309754272
23.0,4.9,Sunny,jam,2,0.0,no,metropolitian,11,21.0,Evening,9.175193844437826
27.0,4.9,Windy,medium,1,1.0,no,metropolitian,25,19.0,Evening,9.315069177421892
37.0,4.8,Cloudy,medium,0,1.0,no,urban,26,16.0,Afternoon,6.209021101535612
33.0,5.0,Sunny,high,2,1.0,no,metropolitian,18,11.0,Morning,1.5203447277401048
31.0,4.9,Fog,medium,1,1.0,no,metropolitian,16,15.0,Afternoon,6.037225392443855
31.0,4.8,Stormy,low,2,1.0,no,metropolitian,23,22.0,Evening,17.078665498349437
25.0,5.0,Cloudy,low,0,0.0,no,metropolitian,15,22.0,Evening,11.195679249164504
28.0,4.8,Sandstorms,jam,0,1.0,no,metropolitian,36,20.0,Evening,12.46432929763658
31.0,4.7,Cloudy,low,2,0.0,no,metropolitian,16,22.0,Evening,9.121425981981249
24.0,4.7,Sunny,medium,0,0.0,no,urban,19,17.0,Afternoon,14.02323208308448
39.0,4.6,Sunny,low,1,1.0,no,metropolitian,27,22.0,Evening,13.392612276663236
39.0,4.2,Fog,jam,2,1.0,no,semi-urban,49,20.0,Evening,11.15578330347024
32.0,4.5,Windy,low,2,0.0,no,metropolitian,20,9.0,Morning,1.4899271643865588
36.0,4.7,Cloudy,jam,1,1.0,no,metropolitian,30,20.0,Evening,11.034035552971044
25.0,4.8,Sandstorms,low,1,0.0,no,urban,18,22.0,Evening,11.916582838288104
33.0,4.9,Sunny,jam,2,0.0,no,metropolitian,22,21.0,Evening,4.663566689152146
30.0,4.4,Cloudy,low,2,1.0,no,metropolitian,34,22.0,Evening,10.64115772933754
33.0,5.0,Sandstorms,low,0,0.0,no,urban,24,23.0,Evening,16.818368923732613
36.0,4.9,Fog,medium,2,1.0,no,metropolitian,17,15.0,Afternoon,6.128551257919138
21.0,4.8,Sandstorms,low,2,0.0,no,metropolitian,14,10.0,Morning,2.996250036665907
39.0,4.9,Stormy,jam,2,1.0,no,metropolitian,30,20.0,Evening,7.342175722857793
23.0,4.8,Stormy,low,1,1.0,no,metropolitian,15,10.0,Morning,10.423458547397066
35.0,4.8,Fog,medium,2,1.0,no,urban,16,15.0,Afternoon,10.269037072416308
39.0,4.6,Cloudy,jam,1,1.0,no,metropolitian,36,20.0,Evening,13.972123977178622
22.0,4.7,Sunny,high,1,1.0,no,urban,18,12.0,Morning,6.081440797008078
32.0,4.6,Fog,medium,1,0.0,no,metropolitian,17,15.0,Afternoon,6.080891507842322
24.0,4.8,Sandstorms,low,1,1.0,no,urban,15,22.0,Evening,13.71849997924378
29.0,4.7,Fog,low,0,1.0,no,metropolitian,17,10.0,Morning,9.228466187938167
31.8,4.68,Stormy,jam,1,0.0,no,metropolitian,19,18.6,Afternoon,6.210589610314177
26.0,4.7,Fog,low,1,0.0,no,metropolitian,10,23.0,Evening,9.220373067021216
20.0,4.5,Fog,jam,1,1.0,no,metropolitian,27,21.0,Evening,9.737768296605632
35.0,4.1,Sandstorms,jam,1,2.0,no,metropolitian,37,20.0,Evening,13.96960642768458
39.0,4.6,Fog,jam,1,2.0,no,metropolitian,44,20.0,Evening,13.973206773137711
34.0,4.7,Windy,high,2,1.0,no,metropolitian,28,12.0,Morning,6.058853851669116
27.0,4.7,Cloudy,jam,2,1.0,no,metropolitian,42,21.0,Evening,17.07799287216204
30.0,4.8,Windy,low,1,1.0,no,metropolitian,25,23.0,Evening,7.653477001340501
25.0,4.4,Cloudy,medium,2,1.0,no,metropolitian,39,18.0,Afternoon,17.072871906399556
25.0,4.7,Stormy,medium,0,0.0,no,urban,20,18.0,Afternoon,16.818368923732613
30.0,5.0,Stormy,high,1,1.0,no,metropolitian,31,11.0,Morning,2.979502850576494
24.0,4.6,Stormy,jam,1,0.0,no,metropolitian,13,20.0,Evening,9.22086597503784
39.0,4.8,Stormy,jam,1,1.0,no,metropolitian,28,21.0,Evening,7.661331134220826
25.0,4.8,Windy,high,1,1.0,no,urban,19,12.0,Morning,6.175516093405999
37.0,4.6,Fog,low,0,2.0,yes,urban,42,23.0,Evening,12.209856560906529
24.0,5.0,Fog,low,0,1.0,no,metropolitian,23,10.0,Morning,1.5526813140972442
25.0,4.2,Stormy,jam,0,1.0,no,metropolitian,39,21.0,Evening,16.902806732498032
32.0,4.6,Stormy,low,2,1.0,no,metropolitian,25,10.0,Morning,1.5093577696337532
34.0,4.7,Sandstorms,low,1,0.0,no,metropolitian,15,23.0,Evening,10.416963824321584
38.0,4.9,Cloudy,low,2,1.0,no,urban,15,8.0,Morning,3.0251186390184004
36.0,4.8,Sunny,medium,2,0.0,no,metropolitian,15,17.0,Afternoon,13.407092693002484
25.0,5.0,Stormy,jam,1,0.8,no,metropolitian,15,20.0,Evening,16.721976048741215
29.0,5.0,Sunny,low,0,0.0,no,metropolitian,18,22.0,Evening,7.772343594464245
36.0,4.7,Sandstorms,low,2,0.0,no,metropolitian,29,23.0,Evening,13.773737657079298
33.0,4.7,Fog,low,0,0.0,no,metropolitian,20,23.0,Evening,7.790158927084966
36.0,4.4,Cloudy,high,2,1.0,no,metropolitian,39,12.0,Morning,6.217834398578936
21.0,4.8,Windy,low,0,0.0,no,metropolitian,19,23.0,Evening,16.852834881460105
25.0,4.8,Cloudy,low,1,1.0,no,urban,19,23.0,Evening,4.610035602260694
23.0,4.8,Windy,low,0,0.0,no,metropolitian,17,22.0,Evening,19.879870677373702
25.0,4.6,Stormy,low,2,1.0,no,urban,15,10.0,Morning,1.5580833985948437
24.0,4.3,Sandstorms,low,0,0.0,no,urban,19,8.0,Morning,3.025332706173566
27.0,4.6,Sandstorms,jam,0,1.0,no,metropolitian,29,21.0,Evening,13.97194896017493
23.0,4.8,Cloudy,low,2,1.0,no,urban,22,22.0,Evening,16.830905551931956
21.0,4.3,Fog,jam,1,0.0,no,metropolitian,42,20.0,Evening,20.20779793335816
27.0,4.7,Sandstorms,low,2,0.0,no,urban,12,10.0,Morning,3.040641621538495
32.0,4.2,Cloudy,jam,1,1.0,no,metropolitian,38,20.0,Evening,20.253785359470783
25.0,4.6,Sunny,low,0,1.0,no,metropolitian,23,23.0,Evening,16.72129600980331
39.0,4.7,Cloudy,low,1,0.0,no,metropolitian,15,10.0,Morning,2.9845507897866907
27.0,4.6,Sunny,low,0,1.0,no,metropolitian,24,23.0,Evening,12.16145053143676
39.0,3.8,Windy,jam,1,0.0,no,metropolitian,37,19.0,Evening,16.822155609317257
31.0,4.8,Sandstorms,low,1,0.0,no,metropolitian,24,22.0,Evening,7.762556904358444
31.0,4.8,Sunny,low,2,0.0,no,metropolitian,13,23.0,Evening,9.055855161965924
20.0,4.8,Cloudy,low,0,0.0,no,metropolitian,16,9.0,Morning,1.5545816630911855
36.0,4.9,Cloudy,medium,0,1.0,no,urban,42,18.0,Afternoon,12.074047498027577
20.0,4.9,Sandstorms,low,0,1.0,no,metropolitian,17,22.0,Evening,13.58037387628088
24.0,4.6,Cloudy,jam,0,0.0,no,metropolitian,25,20.0,Evening,4.469620875558295
31.0,4.720000000000001,Sandstorms,low,3,0.0,no,metropolitian,25,15.4,Afternoon,16.659838319169715
39.0,4.2,Fog,medium,1,0.0,no,metropolitian,39,18.0,Afternoon,16.634870118211836
37.0,4.8,Sunny,high,2,0.0,no,metropolitian,18,14.0,Afternoon,6.232139486668102
32.0,4.9,Sandstorms,medium,2,1.0,no,metropolitian,28,16.0,Afternoon,6.209021101535612
22.0,4.5,Sandstorms,low,1,1.0,no,metropolitian,18,22.0,Evening,7.460830127736633
23.0,4.9,Windy,low,1,0.0,no,metropolitian,18,0.0,Morning,20.253785359470783
33.0,4.7,Fog,jam,1,1.0,no,metropolitian,49,21.0,Evening,16.600975700594585
23.0,4.859999999999999,Sunny,low,0,0.0,no,metropolitian,15,23.0,Evening,4.540321372891478
27.0,4.6,Sunny,low,0,1.0,no,metropolitian,21,23.0,Evening,12.421212735966003
34.0,4.7,Sunny,high,2,0.0,no,metropolitian,23,14.0,Afternoon,6.118711846689728
26.0,5.0,Fog,low,2,1.0,no,urban,11,10.0,Morning,1.520431947999248
31.0,4.6,Cloudy,jam,0,0.0,no,metropolitian,25,21.0,Evening,9.087972744661084
32.0,4.9,Fog,low,2,0.0,no,metropolitian,18,8.0,Morning,3.0644871057616707
27.0,4.7,Cloudy,low,1,0.0,no,metropolitian,14,9.0,Morning,3.025144329113595
21.0,4.9,Windy,medium,0,2.0,no,metropolitian,36,17.0,Afternoon,13.973206773137711
28.0,4.8,Fog,low,1,0.8,no,metropolitian,18,23.0,Evening,7.763102784727143
24.0,4.9,Fog,medium,1,1.0,no,urban,17,16.0,Afternoon,8.450938725100205
33.0,4.4,Sandstorms,low,0,1.0,no,metropolitian,28,8.0,Morning,1.5368503798521729
20.0,4.6,Fog,jam,0,0.0,yes,metropolitian,44,20.0,Evening,13.97317756157655
31.0,4.3,Windy,low,0,1.0,no,metropolitian,20,23.0,Evening,9.348403522662323
32.0,4.779999999999999,Stormy,low,2,0.0,no,metropolitian,19,17.2,Evening,4.596576884051942
36.0,5.0,Fog,jam,1,1.0,no,metropolitian,35,19.0,Evening,10.602467987619509
31.0,4.2,Sandstorms,jam,0,1.0,no,metropolitian,50,21.0,Evening,17.076258901183188
39.0,4.1,Stormy,jam,1,1.0,no,metropolitian,34,21.0,Evening,9.22083460710881
29.0,4.6,Sunny,jam,2,1.0,no,metropolitian,17,19.0,Evening,12.161605446010208
29.0,4.6,Sandstorms,high,1,0.0,no,urban,23,14.0,Afternoon,6.080882967594328
37.0,4.9,Fog,medium,0,1.0,no,metropolitian,27,18.0,Afternoon,4.67414369897644
33.0,4.7,Cloudy,high,0,0.0,no,urban,26,12.0,Morning,6.164509913108208
31.0,3.9,Cloudy,low,1,1.0,no,metropolitian,35,23.0,Evening,10.709003371535417
37.0,4.6,Windy,high,0,1.0,no,urban,41,12.0,Morning,5.502129218302246
26.0,4.4,Sandstorms,low,0,0.0,no,metropolitian,23,23.0,Evening,9.31488473286169
24.0,4.6,Stormy,medium,0,0.0,no,metropolitian,30,17.0,Afternoon,17.137482577838597
23.0,4.8,Windy,low,1,1.0,no,metropolitian,19,10.0,Morning,6.679997042261528
36.0,4.9,Windy,low,1,1.0,no,metropolitian,27,9.0,Morning,9.78186928355382
39.0,4.8,Cloudy,high,0,1.0,no,metropolitian,28,12.0,Morning,6.21800234869445
20.0,4.7,Sandstorms,medium,0,1.0,no,metropolitian,24,17.0,Afternoon,12.463883024166655
20.0,5.0,Cloudy,jam,0,1.0,no,urban,36,19.0,Evening,20.20658151050797
29.0,4.3,Sandstorms,low,0,0.0,no,metropolitian,28,23.0,Evening,9.081116432461174
36.0,4.8,Fog,medium,2,1.0,no,urban,31,18.0,Afternoon,17.138077427627866
36.0,4.0,Sunny,jam,0,3.0,no,metropolitian,44,20.0,Evening,13.631343698142908
22.0,4.8,Windy,low,1,1.0,no,metropolitian,15,22.0,Evening,12.074063090452915
38.0,4.4,Windy,medium,0,1.0,no,metropolitian,33,17.0,Afternoon,10.723264172167632
39.0,4.9,Fog,jam,0,0.0,no,metropolitian,30,19.0,Evening,7.600994631258685
24.0,4.9,Stormy,medium,1,1.0,no,metropolitian,22,18.0,Afternoon,7.562982485200135
30.0,4.1,Fog,low,0,0.0,no,metropolitian,43,23.0,Evening,11.828756306146838
35.0,4.8,Fog,medium,0,3.0,no,metropolitian,48,17.0,Afternoon,13.829314445199351
33.0,4.5,Stormy,low,2,1.0,no,metropolitian,19,23.0,Evening,13.969116967730171
39.0,4.7,Windy,medium,1,1.0,no,urban,21,18.0,Afternoon,10.92326745824626
31.0,4.3,Windy,jam,1,0.0,no,metropolitian,44,21.0,Evening,12.117036432265502
37.0,4.5,Windy,low,2,0.0,no,metropolitian,26,8.0,Morning,1.5525704156536744
37.0,4.7,Windy,low,1,1.0,no,metropolitian,26,22.0,Evening,4.663566689152146
33.0,5.0,Windy,high,1,1.0,no,metropolitian,31,11.0,Morning,1.5294972211332267
24.0,4.6,Stormy,low,2,1.0,no,urban,19,23.0,Evening,7.063627640404556
33.0,4.5,Sunny,jam,1,0.0,no,metropolitian,18,19.0,Evening,11.916757259074618
39.0,4.7,Fog,medium,2,1.0,no,metropolitian,38,18.0,Afternoon,10.486117701549256
37.0,4.6,Cloudy,medium,1,1.0,no,metropolitian,32,18.0,Afternoon,13.583078662317009
25.0,4.9,Sandstorms,low,2,1.0,no,metropolitian,17,22.0,Evening,7.6831914051315
28.0,4.8,Fog,medium,1,1.0,no,urban,11,19.0,Evening,9.193093962702912
38.0,4.7,Windy,high,2,1.0,no,metropolitian,31,13.0,Afternoon,6.2178836475581045
34.2,4.58,Sandstorms,medium,0,0.0,no,metropolitian,43,17.0,Afternoon,10.427235657896496
31.0,4.6,Windy,medium,0,0.0,no,metropolitian,25,17.0,Afternoon,9.326872529115304
25.0,4.8,Cloudy,jam,2,1.0,no,metropolitian,22,19.0,Evening,9.179538450826048
35.0,4.9,Fog,jam,0,3.0,no,metropolitian,43,21.0,Evening,10.88065184853556
39.0,4.7,Fog,jam,0,1.0,yes,metropolitian,42,19.0,Evening,10.565262855251524
38.0,3.9,Stormy,jam,1,0.0,no,metropolitian,42,19.0,Evening,12.100062421152574
35.0,4.7,Fog,jam,1,1.0,no,metropolitian,34,21.0,Evening,4.657159718107683
29.0,4.7,Sandstorms,low,1,1.0,no,metropolitian,17,9.0,Morning,2.9812178551917965
27.0,4.6,Stormy,jam,1,0.0,no,metropolitian,25,20.0,Evening,4.56126563284071
38.0,4.3,Sandstorms,jam,0,1.0,yes,semi-urban,54,21.0,Evening,13.989916877275611
36.0,4.9,Windy,low,2,0.0,no,metropolitian,21,23.0,Evening,10.64228895373868
26.0,4.0,Cloudy,high,1,1.2,no,metropolitian,34,15.0,Afternoon,6.147404652636645
26.0,4.1,Fog,jam,2,1.0,no,metropolitian,36,19.0,Evening,13.428477357470896
36.0,4.9,Sunny,medium,1,0.0,no,metropolitian,17,17.0,Afternoon,9.32728515796102
21.0,4.7,Sunny,low,0,1.0,no,metropolitian,16,9.0,Morning,1.489792976782627
35.0,4.7,Sunny,jam,2,1.0,no,metropolitian,27,20.0,Evening,12.418394742110449
20.0,4.5,Fog,high,2,1.0,no,metropolitian,26,12.0,Morning,6.217860689144307
23.0,4.6,Fog,jam,0,2.0,yes,metropolitian,46,21.0,Evening,13.787803344501585
37.0,5.0,Sunny,jam,0,0.0,no,metropolitian,29,19.0,Evening,9.080187058763224
26.0,4.8,Sandstorms,jam,0,1.0,no,metropolitian,23,19.0,Evening,9.31544163550089
29.0,5.0,Sandstorms,low,1,1.0,no,urban,11,22.0,Evening,12.161417162421785
26.0,4.9,Stormy,medium,1,0.0,no,metropolitian,28,17.0,Afternoon,16.636875038860897
29.0,4.8,Cloudy,jam,0,1.0,no,metropolitian,25,19.0,Evening,9.19295116708344
29.0,4.7,Sandstorms,low,2,0.0,no,metropolitian,11,10.0,Morning,3.018226484999601
21.0,4.9,Windy,medium,1,1.0,no,metropolitian,26,18.0,Afternoon,4.395420246829376
22.0,4.3,Stormy,low,0,1.0,no,metropolitian,23,10.0,Morning,3.109059104393369
31.0,4.0,Fog,medium,1,2.0,no,metropolitian,39,17.0,Afternoon,11.916582838288104
20.0,4.5,Fog,low,1,0.0,no,metropolitian,11,8.0,Morning,3.116248509790061
30.0,3.9,Stormy,jam,2,0.6,no,metropolitian,32,19.0,Evening,12.116950608888414
36.0,4.8,Fog,medium,0,1.0,no,metropolitian,43,17.0,Afternoon,10.868263117988388
24.0,4.7,Fog,medium,1,0.6,no,metropolitian,13,15.0,Afternoon,6.218153086065015
32.0,4.7,Windy,low,2,0.0,no,metropolitian,25,9.0,Morning,1.554424975889475
25.0,5.0,Windy,medium,1,0.0,no,metropolitian,27,18.0,Afternoon,9.313017158714828
27.0,4.5,Windy,medium,2,1.0,no,metropolitian,29,15.0,Afternoon,6.147106622705506
32.0,4.1,Sandstorms,medium,0,1.0,no,metropolitian,33,18.0,Afternoon,10.867300462045836
23.0,4.7,Fog,medium,1,1.0,no,urban,19,16.0,Afternoon,6.209259882041872
39.0,4.4,Sunny,medium,0,1.0,no,metropolitian,33,18.0,Afternoon,20.18085916835158
20.0,4.8,Fog,jam,1,1.0,no,metropolitian,28,19.0,Evening,11.94198512958044
20.0,4.8,Windy,medium,2,0.0,no,metropolitian,15,18.0,Afternoon,11.919755989352296
29.0,4.6,Stormy,jam,1,1.0,no,metropolitian,29,20.0,Evening,4.494291162003504
26.0,4.9,Stormy,low,2,1.0,no,metropolitian,18,22.0,Evening,20.85172635753384
25.0,5.0,Stormy,low,1,1.0,no,metropolitian,14,10.0,Morning,1.5605734793807475
34.0,4.7,Windy,medium,1,1.0,no,metropolitian,30,16.0,Afternoon,6.210589610314177
31.0,4.9,Sunny,high,0,0.0,no,metropolitian,28,14.0,Afternoon,6.17528357530834
24.0,4.7,Fog,jam,0,1.0,no,metropolitian,39,20.0,Evening,8.80714087313146
30.0,4.9,Cloudy,medium,2,0.0,no,metropolitian,30,19.0,Evening,13.830084721845328
36.0,4.8,Sandstorms,medium,0,1.0,no,metropolitian,36,18.0,Afternoon,19.37374583495492
36.0,4.4,Fog,low,0,0.8,no,metropolitian,37,23.0,Evening,20.857115324129595
26.0,4.7,Cloudy,jam,0,1.0,no,metropolitian,43,19.0,Evening,20.85155740266056
30.0,4.6,Sunny,low,2,1.0,no,metropolitian,29,23.0,Evening,16.659963190057415
20.0,4.8,Stormy,medium,2,1.0,no,metropolitian,25,18.0,Afternoon,11.614380695987368
33.0,4.7,Fog,medium,2,1.0,no,urban,15,18.0,Afternoon,7.76260023979039
31.6,4.3,Sandstorms,jam,1,0.0,no,metropolitian,24,19.8,Evening,12.635994441434992
34.0,4.0,Windy,jam,0,2.0,no,metropolitian,39,21.0,Evening,13.76685500858734
36.0,4.6,Windy,low,0,1.0,no,metropolitian,20,23.0,Evening,12.293677673573283
33.0,4.6,Fog,low,1,1.0,no,metropolitian,15,11.0,Morning,2.9846372692856606
22.0,4.8,Sandstorms,low,1,1.0,no,metropolitian,16,22.0,Evening,16.78827586251448
38.0,4.7,Sunny,low,2,1.0,no,metropolitian,19,11.0,Morning,1.532022774064172
27.0,4.9,Fog,low,2,0.0,no,metropolitian,20,23.0,Evening,12.421407858787804
32.0,4.8,Sunny,jam,2,1.0,no,metropolitian,25,21.0,Evening,10.444776155165918
26.0,4.8,Cloudy,jam,0,1.0,no,metropolitian,43,19.0,Evening,12.42075005031367
29.0,4.5,Windy,low,0,0.0,no,urban,15,22.0,Evening,19.659373527443684
31.0,4.5,Sunny,jam,0,0.0,no,urban,29,20.0,Evening,12.46418980459368
28.0,4.6,Stormy,high,2,0.0,no,metropolitian,14,12.0,Morning,6.146243658393432
21.0,4.8,Sunny,medium,1,1.0,no,metropolitian,11,18.0,Afternoon,8.92908688893574
21.0,4.0,Sandstorms,low,0,0.8,no,metropolitian,19,22.0,Evening,7.79036212453358
30.0,4.9,Windy,low,1,1.0,no,metropolitian,29,23.0,Evening,6.756609164869332
29.0,4.7,Cloudy,medium,2,1.0,no,urban,11,15.0,Afternoon,5.992096714696517
20.0,4.8,Sunny,high,1,0.0,no,metropolitian,14,11.0,Morning,1.5297232853100244
28.0,5.0,Windy,low,0,0.0,no,urban,15,22.0,Evening,13.73594217639692
25.0,4.7,Sandstorms,low,0,1.0,no,metropolitian,16,23.0,Evening,10.705559922396557
26.8,4.42,Fog,jam,3,1.0,yes,urban,43,20.2,Afternoon,16.85256546543028
38.0,4.8,Stormy,low,1,1.0,no,metropolitian,20,10.0,Morning,3.1048037532854496
39.0,4.9,Stormy,low,1,1.0,no,metropolitian,26,22.0,Evening,4.610073053799191
26.0,4.9,Windy,medium,1,0.0,no,metropolitian,26,17.0,Afternoon,9.122100805601145
33.0,4.4,Windy,jam,1,0.0,no,urban,43,21.0,Evening,10.906036622245484
24.0,4.6,Sandstorms,medium,0,1.0,no,urban,25,18.0,Afternoon,9.08801379933047
24.0,4.9,Fog,medium,0,1.0,no,metropolitian,28,15.0,Afternoon,6.232303380306801
33.0,4.5,Stormy,low,2,0.0,no,metropolitian,17,22.0,Evening,13.611566722125083
35.0,4.2,Windy,jam,1,1.0,no,metropolitian,44,19.0,Evening,13.611428630407849
27.0,4.2,Stormy,jam,0,1.0,no,metropolitian,33,20.0,Evening,13.763896210757975
28.6,4.62,Cloudy,medium,1,1.0,no,urban,19,18.0,Afternoon,7.761350404897231
29.0,4.5,Sunny,medium,0,0.0,no,metropolitian,15,18.0,Afternoon,4.657591594952301
34.0,4.7,Fog,low,1,1.0,no,metropolitian,27,23.0,Evening,19.34348721744278
20.0,4.7,Cloudy,high,2,1.0,no,metropolitian,25,11.0,Morning,2.984512559868836
29.0,4.8,Sunny,high,1,1.0,no,metropolitian,18,13.0,Afternoon,6.058876303739157
22.0,4.9,Stormy,medium,2,0.0,no,metropolitian,21,18.0,Afternoon,9.08808409216426
35.0,4.9,Cloudy,jam,0,2.0,no,metropolitian,53,21.0,Evening,10.41706579035871
32.0,4.4,Sandstorms,jam,0,3.0,no,metropolitian,42,21.0,Evening,17.164833902684475
28.0,4.9,Sunny,jam,2,1.0,no,metropolitian,20,21.0,Evening,16.11387241182587
30.0,4.7,Fog,low,1,0.0,no,metropolitian,29,22.0,Evening,20.25368633951745
22.0,4.7,Stormy,jam,2,0.0,no,urban,15,20.0,Evening,17.076258901183188
36.0,4.7,Fog,medium,0,1.0,no,metropolitian,30,18.0,Afternoon,7.79036212453358
23.0,4.8,Windy,jam,0,1.0,no,metropolitian,28,20.0,Evening,19.76218981785925
22.0,4.8,Stormy,low,2,1.0,no,metropolitian,19,10.0,Morning,3.0250598092773755
29.0,4.5,Sandstorms,low,2,1.0,no,metropolitian,15,22.0,Evening,19.8395614419349
34.0,4.9,Sandstorms,jam,0,3.0,yes,urban,50,21.0,Evening,17.07559440107296
38.0,4.1,Stormy,high,0,1.0,yes,metropolitian,41,11.0,Morning,1.5527001159059903
35.0,5.0,Fog,medium,0,1.0,no,metropolitian,37,17.0,Afternoon,6.145770926821588
38.0,4.7,Cloudy,jam,2,1.0,no,metropolitian,28,21.0,Evening,9.591967406723048
32.0,4.3,Cloudy,medium,1,2.0,no,metropolitian,35,18.0,Afternoon,10.280572823486576
20.0,4.5,Windy,jam,2,1.0,no,metropolitian,27,20.0,Evening,10.867300462045836
25.0,4.9,Fog,jam,0,2.0,no,metropolitian,43,21.0,Evening,12.417687564200063
29.0,4.5,Fog,low,2,0.0,no,metropolitian,12,22.0,Evening,8.93786088183146
32.0,4.7,Sandstorms,jam,2,1.0,no,metropolitian,31,20.0,Evening,8.928939271550702
39.0,4.1,Cloudy,jam,1,2.0,no,metropolitian,39,21.0,Evening,16.075922766325164
31.0,4.4,Stormy,jam,0,1.0,no,urban,47,21.0,Evening,16.660108123693192
37.0,4.5,Fog,low,0,1.0,no,urban,26,23.0,Evening,7.601385733164932
36.0,4.9,Cloudy,medium,2,1.0,no,metropolitian,31,17.0,Afternoon,13.183763612802814
37.0,3.8,Sandstorms,jam,1,1.0,no,metropolitian,42,20.0,Evening,20.856833724898493
